"","Aeroporto de Guarulhos","Aparecida","Bertioga","Caçapava","Cachoeira Paulista","Campinas","Campos do Jordão","Caraguatatuba","Cruzeiro","Guaratinguetá","Ilhabela","Itajubá","Jacareí","Lorena","Mogi das Cruzes","Paraibuna","Paraisópolis","Pouso Alegre","Queluz","Roseira","Santa Branca","Santo André","Santo Antônio do Pinhal","Santos","São Bento do Sapucaí","São Bernardo do Campo","São Caetano do Sul","São José dos Campos","São Paulo","São Sebastião","Taubaté","Tremembé","Ubatuba","","","","","","","","","","",""
"Aeroporto de Guarulhos","","147","60","91","181","83","126","114","189","155","124","157","60","167","34","90","124","150","205","141","64","24","114","61","119","30","20","74","20","118","112","113","150","","","","","","","","","","",""
"Aparecida","147","","145","57","31","189","40","89","41","5","110","53","92","18","124","75","70","100","59","10","92","161","45","168","56","166","161","77","167","104","39","35","68","","","","","","","","","","",""
"Bertioga","60","145","","95","175","142","135","79","186","151","79","174","63","164","37","72","150","182","202","137","56","46","124","23","135","46","51","79","62","75","110","116","119","","","","","","","","","","",""
"Caçapava","91","57","95","","87","141","43","66","97","61","88","80","36","74","68","32","65","100","115","47","38","105","32","115","46","110","105","21","110","80","18","24","75","","","","","","","","","","",""
"Cachoeira Paulista","181","31","175","87","","214","61","114","12","26","134","54","122","14","154","105","85","107","29","40","122","191","70","198","76","196","191","107","196","129","69","64","86","","","","","","","","","","",""
"Campinas","83","189","142","141","214","","153","197","229","202","212","184","131","211","123","164","144","147","249","191","143","107","155","147","149","111","101","135","92","204","167","167","223","","","","","","","","","","",""
"Campos do Jordão","126","40","135","43","61","153","","100","68","42","123","38","74","49","107","73","33","67","88","35","80","141","13","156","16","146","140","58","143","116","33","26","95","","","","","","","","","","",""
"Caraguatatuba","114","89","79","66","114","197","100","","126","93","19","134","68","104","80","37","128","164","138","82","55","112","93","101","109","117","118","69","127","16","68","75","41","","","","","","","","","","",""
"Cruzeiro","189","41","186","97","12","229","68","126","","37","145","53","132","24","164","115","88","107","21","51","132","201","77","208","81","206","201","117","205","140","79","74","97","","","","","","","","","","",""
"Guaratinguetá","155","5","151","61","26","202","42","93","37","","114","51","96","13","129","79","72","100","54","15","96","166","48","173","58","171","166","82","171","108","44","40","70","","","","","","","","","","",""
"Ilhabela","124","110","79","88","134","212","123","19","145","114","","156","82","125","90","58","147","187","151","104","69","121","111","99","128","122","125","90","135","9","86","98","49","","","","","","","","","","",""
"Itajubá","157","53","174","80","54","184","38","134","53","51","156","","111","48","144","109","40","54","71","55","117","176","50","193","42","182","175","95","177","149","68","61","119","","","","","","","","","","",""
"Jacareí","60","92","63","36","122","131","74","68","132","96","82","111","","109","33","33","87","119","150","82","14","70","62","82","73","75","70","17","76","77","53","59","92","","","","","","","","","","",""
"Lorena","167","18","164","74","14","211","49","104","24","13","125","48","109","","141","92","75","100","42","27","109","178","57","185","64","183","178","94","183","119","56","51","79","","","","","","","","","","",""
"Mogi das Cruzes","34","124","37","68","154","123","107","80","164","129","90","144","33","141","","56","117","146","182","114","34","39","95","51","104","43","40","50","48","84","86","92","115","","","","","","","","","","",""
"Paraibuna","90","75","72","32","105","164","73","37","115","79","58","109","33","92","56","","96","131","131","66","24","94","63","94","78","98","96","33","104","50","41","49","61","","","","","","","","","","",""
"Paraisópolis","124","70","150","65","85","144","33","128","88","72","147","40","87","75","117","96","","36","104","63","95","145","33","167","17","151","143","71","144","140","59","52","123","","","","","","","","","","",""
"Pouso Alegre","150","100","182","100","107","147","67","164","107","100","187","54","119","100","146","131","36","","124","99","130","170","72","197","55","176","167","106","166","179","97","91","161","","","","","","","","","","",""
"Queluz","205","59","202","115","29","249","88","138","21","54","151","71","150","42","182","131","104","124","","68","149","219","97","225","101","224","219","135","224","152","97","92","105","","","","","","","","","","",""
"Roseira","141","10","137","47","40","191","35","82","51","15","104","55","82","27","114","66","63","99","68","","82","151","38","158","50","156","152","68","157","97","29","26","65","","","","","","","","","","",""
"Santa Branca","64","92","56","38","122","143","80","55","132","96","69","117","14","109","34","24","95","130","149","82","","72","68","78","81","76","74","25","81","64","54","61","84","","","","","","","","","","",""
"Santo André","24","161","46","105","191","107","141","112","201","166","121","176","70","178","39","94","145","170","219","151","72","","130","35","138","5","12","86","22","112","123","129","150","","","","","","","","","","",""
"Santo Antônio do Pinhal","114","45","124","32","70","155","13","93","77","48","111","50","62","57","95","63","33","72","97","38","68","130","","144","17","134","128","46","131","108","26","20","91","","","","","","","","","","",""
"Santos","61","168","23","115","198","147","156","101","208","173","99","193","82","185","51","94","167","197","225","158","78","35","144","","154","37","46","98","56","96","131","138","141","","","","","","","","","","",""
"São Bento do Sapucaí","119","56","135","46","76","149","16","109","81","58","128","42","73","64","104","78","17","55","101","50","81","138","17","154","","141","133","57","135","124","43","37","108","","","","","","","","","","",""
"São Bernardo do Campo","30","166","46","110","196","111","146","117","206","171","122","182","75","183","43","98","151","176","224","156","76","5","134","37","141","","11","90","17","118","127","133","155","","","","","","","","","","",""
"São Caetano do Sul","20","161","51","105","191","101","140","118","201","166","125","175","70","178","40","96","143","167","219","152","74","12","128","46","133","11","","85","13","119","125","130","155","","","","","","","","","","",""
"São José dos Campos","74","77","79","21","107","135","58","69","117","82","90","95","17","94","50","33","71","106","135","68","25","86","46","98","57","90","85","","90","82","39","43","89","","","","","","","","","","",""
"São Paulo","20","167","62","110","196","92","143","127","205","171","135","177","76","183","48","104","144","166","224","157","81","22","131","56","135","17","13","90","","129","128","133","163","","","","","","","","","","",""
"São Sebastião","118","104","75","80","129","204","116","16","140","108","9","149","77","119","84","50","140","179","152","97","64","112","108","96","124","118","119","82","129","","83","90","51","","","","","","","","","","",""
"Taubaté","112","39","110","18","69","167","33","68","79","44","86","68","53","56","86","41","59","97","97","29","54","123","26","131","43","127","125","39","128","83","","8","67","","","","","","","","","","",""
"Tremembé","113","35","116","24","64","167","26","75","74","40","98","61","59","51","92","49","52","91","92","26","61","129","20","138","37","133","130","43","133","90","8","","71","","","","","","","","","","",""
"Ubatuba","150","68","119","75","86","223","95","41","97","70","49","119","92","79","115","61","123","161","105","65","84","150","91","141","108","155","155","89","163","51","67","71","","","","","","","","","","","",""
